[DEBUG] 2015-07-20 01:48:22.951 	 Main window log posted. [[AI] Creating new generation.]
[DEBUG] 2015-07-20 01:48:22.951 	 [AI] Creating new generation.
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000021] evaluation = 0 values: 5/3/1
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 0 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000022] evaluation = 0 values: 5/5/2
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 1 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000023] evaluation = 0 values: 5/5/3
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 2 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000024] evaluation = 0 values: 5/7/3
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 3 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000025] evaluation = 0 values: 5/9/3
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 4 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000026] evaluation = 0 values: 9/9/4
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 5 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000027] evaluation = 0 values: 9/9/5
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 6 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000028] evaluation = 0 values: 9/11/5
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 7 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000029] evaluation = 0 values: 13/11/5
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 8 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000030] evaluation = 0 values: 13/13/5
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 9 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000031] evaluation = 0 values: 15/13/5
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 10 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000032] evaluation = 0 values: 15/13/7
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 11 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000033] evaluation = 0 values: 15/16/7
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 12 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000034] evaluation = 0 values: 15/16/8
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 13 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000035] evaluation = 0 values: 15/19/8
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 14 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000036] evaluation = 0 values: 19/19/8
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 15 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000037] evaluation = 0 values: 21/19/8
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 16 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000038] evaluation = 0 values: 21/21/10
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 17 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000039] evaluation = 0 values: 21/19/5
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 18 created
[DEBUG] 2015-07-20 01:48:22.951 	 ID [1000040] evaluation = 0 values: 5/13/3
[DEBUG] 2015-07-20 01:48:22.951 	 Controller 19 created
[DEBUG] 2015-07-20 01:48:22.951 	 [AI] Generation 1 added to sandbox.
[DEBUG] 2015-07-20 01:48:22.951 	 [AI] Specimen 1000021 created.
[DEBUG] 2015-07-20 01:48:22.951 	 [AI] Specimen 1000022 created.
[DEBUG] 2015-07-20 01:48:22.951 	 [AI] Specimen 1000023 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000024 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000025 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000026 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000027 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000028 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000029 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000030 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000031 created.
[DEBUG] 2015-07-20 01:48:22.952 	 [AI] Specimen 1000032 created.
